,run_id,optimization_type,accuracy,num_parameters,compressed_disk_size
0,t7x4xuzk,baseline,0.9616143107414246,13831385,51863803
0,t7x4xuzk,fp16,0.9838013052940369,0,8714762
0,0utud6qk,baseline,0.9585484862327576,13831385,51870854
0,0utud6qk,fp16,0.982779324054718,0,9476744
0,e5ohdjxh,baseline,0.9768179655075073,13831385,51843485
0,e5ohdjxh,fp16,0.9871987700462341,0,8760433
0,7ff0b5qh,baseline,0.9730170965194702,13831385,51945354
0,7ff0b5qh,fp16,0.9829944968223572,0,8591822
0,xzgf771s,baseline,0.970507025718689,13831385,51946079
0,xzgf771s,fp16,0.9866071343421936,0,9515126
0,m7ipnqqr,baseline,0.9716007113456726,13831385,51807542
0,m7ipnqqr,fp16,0.984868049621582,0,9226520
0,at5z2h4o,baseline,0.9693326950073242,13831385,51921238
0,at5z2h4o,fp16,0.9823669791221619,0,8937892
0,f68lvdzi,baseline,0.9704711437225342,13831385,51940464
0,f68lvdzi,fp16,0.9857734441757202,0,9511834
0,t7x4xuzk,baseline,0.9616143107414246,13831385,51863803
0,t7x4xuzk,fp16,0.9838013052940369,0,8714766
0,0utud6qk,baseline,0.9585484862327576,13831385,51870854
0,0utud6qk,fp16,0.982779324054718,0,9476739
0,e5ohdjxh,baseline,0.9768179655075073,13831385,51843485
0,e5ohdjxh,fp16,0.9871987700462341,0,8760430
0,7ff0b5qh,baseline,0.9730170965194702,13831385,51945354
0,7ff0b5qh,fp16,0.9829944968223572,0,8591816
0,xzgf771s,baseline,0.970507025718689,13831385,51946079
0,xzgf771s,fp16,0.9866071343421936,0,9515120
0,m7ipnqqr,baseline,0.9716007113456726,13831385,51807542
0,m7ipnqqr,fp16,0.984868049621582,0,9226515
0,at5z2h4o,baseline,0.9693326950073242,13831385,51921238
0,at5z2h4o,fp16,0.9823669791221619,0,8937887
0,f68lvdzi,baseline,0.9704711437225342,13831385,51940464
0,f68lvdzi,fp16,0.9857734441757202,0,9511834
