run_id,optimization_type,accuracy,num_parameters,compressed_disk_size
u1ezrh04,baseline,0.9384053945541382,1779161,6704640
u1ezrh04,quantization_aware,0.974388599395752,1779380,6707793
u1ezrh04,dynamic_range,0.974397599697113,0,1285464
u1ezrh04,fp16,0.974397599697113,0,1285459
u1ezrh04,int8,0.974397599697113,0,1286624
5gaat1gd,baseline,0.9440350532531738,1779161,6707300
5gaat1gd,quantization_aware,0.9735100865364075,1779380,6710330
5gaat1gd,dynamic_range,0.9736266732215881,0,1248784
5gaat1gd,fp16,0.9736266732215881,0,1248770
5gaat1gd,int8,0.9736266732215881,0,1249277
bwsmgtyh,baseline,0.9390149712562561,1779161,6714802
bwsmgtyh,quantization_aware,0.9695209264755249,1779380,6718023
bwsmgtyh,dynamic_range,0.9693685173988342,0,1223990
bwsmgtyh,fp16,0.9693685173988342,0,1223982
bwsmgtyh,int8,0.9693685173988342,0,1224269
j4le637v,baseline,0.9440440535545349,1779161,6702146
j4le637v,quantization_aware,0.974030077457428,1779380,6705181
j4le637v,dynamic_range,0.9739762544631958,0,1276428
j4le637v,fp16,0.9739762544631958,0,1276422
j4le637v,int8,0.9739762544631958,0,1276679
