,run_id,optimization_type,accuracy,num_parameters,compressed_disk_size
0,rkwv5h7p,baseline,0.860809326171875,497721,1865979
0,rkwv5h7p,fp16,0.8620105385780334,0,373716
0,6z34tj4r,baseline,0.8577972650527954,497721,1872062
0,6z34tj4r,fp16,0.856757402420044,0,369099
0,2relht4q,baseline,0.8486983776092529,497721,1868774
0,2relht4q,fp16,0.8480080962181091,0,364896
0,297mmd8r,baseline,0.8497471809387207,497721,1870394
0,297mmd8r,fp16,0.8483039140701294,0,362823
0,zo31ohb1,baseline,0.8483666777610779,497721,1870030
0,zo31ohb1,fp16,0.8470758199691772,0,363328
0,3tcii73q,baseline,0.8476853966712952,497721,1872172
0,3tcii73q,fp16,0.8476674556732178,0,349619
0,2yhlg0zq,baseline,0.8485549092292786,497721,1871610
0,2yhlg0zq,fp16,0.8489404320716858,0,357873
0,u8zj34qv,baseline,0.8501326441764832,497721,1871574
0,u8zj34qv,fp16,0.8488149046897888,0,347326
0,pbhyh2kv,baseline,0.8480080962181091,497721,1872703
0,pbhyh2kv,fp16,0.8474612832069397,0,355668
0,3tcii73q,baseline,0.8476853966712952,497721,1872172
0,3tcii73q,fp16,0.8478556871414185,0,349611
0,2yhlg0zq,baseline,0.8485549092292786,497721,1871610
0,2yhlg0zq,fp16,0.8495678901672363,0,357873
0,u8zj34qv,baseline,0.8501326441764832,497721,1871574
0,u8zj34qv,fp16,0.8498189449310303,0,347248
0,pbhyh2kv,baseline,0.8480080962181091,497721,1872703
0,pbhyh2kv,fp16,0.8476226329803467,0,355675
