2023-01-08 10:51:35,964 INFO    MainThread:25317 [wandb_setup.py:_flush():68] Configure stats pid to 25317
2023-01-08 10:51:35,965 INFO    MainThread:25317 [wandb_setup.py:_flush():68] Loading settings from /home/wiktor/.config/wandb/settings
2023-01-08 10:51:35,965 INFO    MainThread:25317 [wandb_setup.py:_flush():68] Loading settings from /home/wiktor/code/master-thesis/src/wandb/settings
2023-01-08 10:51:35,965 INFO    MainThread:25317 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-08 10:51:35,965 INFO    MainThread:25317 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src/preprocessing/upload_dataset_splits.py', 'program': '/home/wiktor/code/master-thesis/src/preprocessing/upload_dataset_splits.py'}
2023-01-08 10:51:35,965 INFO    MainThread:25317 [wandb_init.py:_log_setup():476] Logging user logs to /home/wiktor/code/master-thesis/src/wandb/run-20230108_105135-y21cvc3j/logs/debug.log
2023-01-08 10:51:35,965 INFO    MainThread:25317 [wandb_init.py:_log_setup():477] Logging internal logs to /home/wiktor/code/master-thesis/src/wandb/run-20230108_105135-y21cvc3j/logs/debug-internal.log
2023-01-08 10:51:35,965 INFO    MainThread:25317 [wandb_init.py:init():516] calling init triggers
2023-01-08 10:51:35,965 INFO    MainThread:25317 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-08 10:51:35,965 INFO    MainThread:25317 [wandb_init.py:init():569] starting backend
2023-01-08 10:51:35,965 INFO    MainThread:25317 [wandb_init.py:init():573] setting up manager
2023-01-08 10:51:35,968 INFO    MainThread:25317 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-01-08 10:51:35,969 INFO    MainThread:25317 [wandb_init.py:init():580] backend started and connected
2023-01-08 10:51:35,970 INFO    MainThread:25317 [wandb_init.py:init():658] updated telemetry
2023-01-08 10:51:35,974 INFO    MainThread:25317 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-08 10:51:36,532 INFO    MainThread:25317 [wandb_run.py:_on_init():2006] communicating current version
2023-01-08 10:51:36,704 INFO    MainThread:25317 [wandb_run.py:_on_init():2010] got version response 
2023-01-08 10:51:36,704 INFO    MainThread:25317 [wandb_init.py:init():728] starting run threads in backend
2023-01-08 10:51:36,766 INFO    MainThread:25317 [wandb_run.py:_console_start():1986] atexit reg
2023-01-08 10:51:36,766 INFO    MainThread:25317 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-08 10:51:36,766 INFO    MainThread:25317 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-08 10:51:36,766 INFO    MainThread:25317 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-08 10:51:36,767 INFO    MainThread:25317 [wandb_init.py:init():765] run started, returning control to user process
2023-01-08 10:51:47,618 WARNING MsgRouterThr:25317 [router.py:message_loop():77] message_loop has been closed
